character_name,"[('1987', 4)]","[('7891', 4)]","[('Arasaka', 4)]","[('Armydesert', 4)]","[('Armygreen', 4)]","[('Bamboo', 4)]","[('Cloud', 4)]","[('Cosmic', 4)]","[('Dawn', 4)]","[('Flute', 4)]","[('Freight', 4)]","[('Grassland', 4)]","[('KangTao', 4)]","[('Liquidation', 4)]","[('Militech', 4)]","[('NUSA', 4)]","[('Newspaper', 4)]","[('OldRusty', 4)]","[('Purplestar', 4)]","[('Rainbow', 4)]","[('Rose', 4)]","[('Runic', 4)]","[('Snowflake', 4)]","[('Sovereign', 4)]","[('Tigris', 4)]"
Lester,47.88732394366197,51.31578947368421,52.70935960591133,42.857142857142854,40.75829383886256,45.3125,40.0,42.241379310344826,36.72566371681416,40.25974025974026,40.7035175879397,41.284403669724774,41.99134199134199,44.396551724137936,42.19409282700422,40.95238095238095,42.857142857142854,33.16831683168317,40.625,47.88732394366197,37.980769230769226,46.44549763033176,45.95744680851064,43.83561643835616,44.03669724770643
Lillia,49.08256880733945,48.27586206896552,38.46153846153847,46.19047619047619,47.73662551440329,47.57709251101321,37.99126637554585,51.627906976744185,51.11111111111111,42.857142857142854,43.1924882629108,44.5945945945946,42.592592592592595,42.10526315789473,41.66666666666667,49.763033175355446,46.58119658119658,46.97674418604651,38.862559241706165,41.63090128755365,41.39344262295082,44.44444444444444,46.26168224299065,48.75,45.622119815668206
Lu,46.728971962616825,47.34513274336283,44.71153846153847,43.42105263157895,45.28301886792453,42.18009478672986,48.89867841409692,42.34234234234234,40.98360655737705,40.0,47.72727272727273,42.4390243902439,42.47787610619469,49.30875576036866,42.78606965174129,51.26903553299492,40.09216589861751,38.62660944206009,42.00913242009132,44.23963133640553,38.91402714932127,40.92827004219409,43.75,36.12565445026178,40.54054054054054
Luna,48.4304932735426,48.23008849557522,45.933014354066984,53.0,61.31687242798354,47.2636815920398,49.76958525345622,54.20560747663551,53.36322869955157,49.25373134328358,51.33928571428571,44.921875,47.465437788018434,54.14847161572053,44.10480349344978,55.36480686695279,46.963562753036435,43.37899543378995,58.92857142857143,46.0,48.91774891774891,51.72413793103448,52.42290748898678,51.78571428571429,50.672645739910315
Martin,41.5929203539823,46.41350210970464,43.53448275862069,42.600896860986545,44.78260869565218,40.909090909090914,45.14767932489451,39.33649289099526,46.875,41.31455399061033,43.23144104803494,44.20600858369099,45.662100456621005,45.714285714285715,45.258620689655174,43.111111111111114,46.84684684684685,41.75257731958763,42.00913242009132,38.35616438356164,35.74660633484163,39.31623931623932,41.62162162162162,42.27272727272727,41.5
Mitsuki,45.92274678111588,51.37614678899083,49.333333333333336,48.05825242718447,50.76142131979695,42.22222222222222,38.91402714932127,48.1651376146789,46.808510638297875,57.268722466960355,47.5206611570248,48.837209302325576,40.19607843137255,47.82608695652174,47.08520179372198,51.80180180180181,43.18181818181818,43.17180616740088,51.80722891566265,46.69603524229075,46.97674418604651,47.15025906735752,48.333333333333336,46.478873239436616,40.93023255813954
Moe,52.093023255813954,47.863247863247864,52.17391304347826,50.0,52.358490566037744,49.80237154150198,49.35064935064935,44.03669724770643,47.368421052631575,45.63106796116505,52.07373271889401,47.78761061946903,45.85152838427947,50.0,41.63568773234201,50.0,44.97816593886463,46.875,51.35135135135135,44.537815126050425,45.87155963302752,57.758620689655174,47.82608695652174,54.460093896713616,45.02164502164502
Nata,55.98290598290598,56.63716814159292,53.73831775700935,54.12844036697248,50.40650406504065,51.20772946859904,44.01913875598086,62.980769230769226,49.01960784313725,43.69369369369369,71.16279069767441,46.733668341708544,46.85990338164252,49.056603773584904,48.18652849740933,50.9009009009009,57.95918367346938,48.1651376146789,47.465437788018434,49.7737556561086,51.20772946859904,57.43589743589743,60.0,54.066985645933016,50.480769230769226
Niles,47.48858447488584,46.86192468619247,46.288209606986904,46.42857142857143,47.66355140186916,48.59437751004016,45.12820512820513,39.30131004366812,35.348837209302324,46.889952153110045,51.53061224489795,39.10891089108911,50.43478260869565,52.76381909547738,36.74418604651163,48.4375,45.09803921568628,36.17886178861789,47.78761061946903,44.881889763779526,38.095238095238095,47.25738396624472,43.49775784753363,50.0,42.672413793103445
Nobutuna,50.0,56.27906976744186,50.25125628140703,49.77777777777778,48.760330578512395,54.46808510638298,49.0,49.30875576036866,48.888888888888886,47.43589743589743,52.03619909502263,48.78048780487805,49.78540772532189,50.71090047393365,51.31578947368421,54.54545454545454,47.80487804878049,42.616033755274266,56.837606837606835,42.72727272727273,48.34123222748815,52.41935483870967,47.47899159663865,54.90196078431373,42.926829268292686
NobutunaAL,43.69369369369369,48.23008849557522,50.63291139240506,43.689320388349515,50.51546391752577,38.288288288288285,48.62385321100918,45.11627906976744,43.75,48.792270531400966,43.0327868852459,47.48858447488584,42.3963133640553,46.97674418604651,44.93392070484582,54.43548387096774,42.10526315789473,46.26865671641791,49.15254237288136,45.85152838427947,42.081447963800905,40.86538461538461,46.55172413793103,43.38842975206611,47.78761061946903
Olive,56.03448275862068,59.473684210526315,47.61904761904761,54.50000000000001,52.19512195121951,57.438016528925615,55.75221238938053,55.172413793103445,54.66101694915254,50.877192982456144,55.072463768115945,54.93562231759657,53.588516746411486,59.11330049261084,56.481481481481474,53.77358490566038,43.005181347150256,45.41284403669725,52.57731958762887,52.9126213592233,53.50877192982456,51.13122171945701,51.5873015873016,49.46236559139785,51.86915887850467
