character_name,equipment_set,wins,losses,winrate,is_boss
Chiffon,Snowflake,17,17,50.0,False
Chiffon,Sovereign,21,12,63.63636363636363,False
Chiffon,Tigris,20,13,60.60606060606061,False
Clarence,1987,17,16,51.515151515151516,False
Clarence,7891,14,21,40.0,False
Clarence,Arasaka,8,15,34.78260869565217,False
Clarence,Bamboo,18,14,56.25,False
Clarence,Cloud,12,17,41.37931034482759,False
Clarence,Cosmic,8,15,34.78260869565217,False
Clarence,Dawn,14,12,53.84615384615385,False
Clarence,Flute,17,18,48.57142857142857,False
Clarence,Freight,12,13,48.0,False
Clarence,Grassland,13,19,40.625,False
Clarence,KangTao,24,13,64.86486486486487,False
Clarence,Liquidation,16,14,53.333333333333336,False
Clarence,Militech,6,10,37.5,False
Clarence,NUSA,17,14,54.83870967741935,False
Clarence,Newspaper,10,12,45.45454545454545,False
Clarence,OldRusty,13,18,41.935483870967744,False
Clarence,Purplestar,18,13,58.06451612903226,False
Clarence,Rainbow,20,20,50.0,False
Clarence,Rose,15,13,53.57142857142857,False
Clarence,Runic,14,13,51.85185185185185,False
Clarence,Snowflake,15,18,45.45454545454545,False
Clarence,Sovereign,20,14,58.82352941176471,False
Clarence,Tigris,21,21,50.0,False
Cliffe,1987,13,15,46.42857142857143,False
Cliffe,7891,22,14,61.111111111111114,False
Cliffe,Arasaka,26,23,53.06122448979592,False
Cliffe,Bamboo,9,19,32.142857142857146,False
Cliffe,Cloud,16,18,47.05882352941176,False
Cliffe,Cosmic,18,11,62.06896551724138,False
Cliffe,Dawn,16,8,66.66666666666666,False
Cliffe,Flute,15,17,46.875,False
Cliffe,Freight,20,14,58.82352941176471,False
Cliffe,Grassland,24,17,58.536585365853654,False
Cliffe,KangTao,13,13,50.0,False
Cliffe,Liquidation,21,8,72.41379310344827,False
Cliffe,Militech,9,20,31.03448275862069,False
Cliffe,NUSA,19,18,51.35135135135135,False
Cliffe,Newspaper,17,13,56.666666666666664,False
Cliffe,OldRusty,19,13,59.375,False
Cliffe,Purplestar,22,12,64.70588235294117,False
Cliffe,Rainbow,16,18,47.05882352941176,False
Cliffe,Rose,13,21,38.23529411764706,False
Cliffe,Runic,8,8,50.0,False
Cliffe,Snowflake,13,12,52.0,False
Cliffe,Sovereign,16,18,47.05882352941176,False
Cliffe,Tigris,19,24,44.18604651162791,False
Clover,1987,9,19,32.142857142857146,False
Clover,7891,17,15,53.125,False
Clover,Arasaka,15,25,37.5,False
Clover,Bamboo,12,19,38.70967741935484,False
Clover,Cloud,14,14,50.0,False
Clover,Cosmic,16,16,50.0,False
Clover,Dawn,13,15,46.42857142857143,False
Clover,Flute,12,16,42.857142857142854,False
Clover,Freight,13,15,46.42857142857143,False
Clover,Grassland,16,21,43.24324324324324,False
Clover,KangTao,23,18,56.09756097560976,False
Clover,Liquidation,15,18,45.45454545454545,False
Clover,Militech,7,11,38.88888888888889,False
Clover,NUSA,17,19,47.22222222222222,False
Clover,Newspaper,15,15,50.0,False
Clover,OldRusty,15,9,62.5,False
Clover,Purplestar,17,16,51.515151515151516,False
Clover,Rainbow,14,18,43.75,False
Clover,Rose,11,16,40.74074074074074,False
Clover,Runic,16,16,50.0,False
Clover,Snowflake,15,17,46.875,False
Clover,Sovereign,19,11,63.33333333333333,False
Clover,Tigris,18,13,58.06451612903226,False
CocoaRT,1987,21,10,67.74193548387096,False
CocoaRT,7891,17,14,54.83870967741935,False
CocoaRT,Arasaka,13,13,50.0,False
CocoaRT,Bamboo,18,12,60.0,False
CocoaRT,Cloud,13,16,44.827586206896555,False
CocoaRT,Cosmic,12,16,42.857142857142854,False
CocoaRT,Dawn,21,24,46.666666666666664,False
CocoaRT,Flute,17,12,58.620689655172406,False
CocoaRT,Freight,23,10,69.6969696969697,False
CocoaRT,Grassland,21,14,60.0,False
CocoaRT,KangTao,27,19,58.69565217391305,False
CocoaRT,Liquidation,18,6,75.0,False
CocoaRT,Militech,17,13,56.666666666666664,False
CocoaRT,NUSA,19,20,48.717948717948715,False
CocoaRT,Newspaper,18,14,56.25,False
CocoaRT,OldRusty,20,14,58.82352941176471,False
CocoaRT,Purplestar,20,21,48.78048780487805,False
CocoaRT,Rainbow,17,16,51.515151515151516,False
CocoaRT,Rose,18,13,58.06451612903226,False
CocoaRT,Runic,18,9,66.66666666666666,False
CocoaRT,Snowflake,16,10,61.53846153846154,False
CocoaRT,Sovereign,27,19,58.69565217391305,False
CocoaRT,Tigris,12,15,44.44444444444444,False
Cocoa,1987,16,8,66.66666666666666,False
Cocoa,7891,24,20,54.54545454545454,False
Cocoa,Arasaka,19,8,70.37037037037037,False
Cocoa,Bamboo,20,17,54.054054054054056,False
Cocoa,Cloud,15,14,51.724137931034484,False
Cocoa,Cosmic,24,11,68.57142857142857,False
Cocoa,Dawn,32,14,69.56521739130434,False
Cocoa,Flute,17,8,68.0,False
Cocoa,Freight,17,10,62.96296296296296,False
Cocoa,Grassland,15,10,60.0,False
Cocoa,KangTao,17,18,48.57142857142857,False
Cocoa,Liquidation,19,11,63.33333333333333,False
Cocoa,Militech,31,13,70.45454545454545,False
Cocoa,NUSA,18,13,58.06451612903226,False
Cocoa,Newspaper,17,14,54.83870967741935,False
Cocoa,OldRusty,38,11,77.55102040816327,False
Cocoa,Purplestar,24,10,70.58823529411765,False
Cocoa,Rainbow,11,11,50.0,False
Cocoa,Rose,11,8,57.89473684210527,False
Cocoa,Runic,22,13,62.857142857142854,False
Cocoa,Snowflake,15,11,57.692307692307686,False
Cocoa,Sovereign,31,9,77.5,False
Cocoa,Tigris,12,8,60.0,False
Cory,1987,13,19,40.625,False
Cory,7891,15,13,53.57142857142857,False
Cory,Arasaka,16,15,51.61290322580645,False
Cory,Bamboo,11,17,39.285714285714285,False
Cory,Cloud,11,15,42.30769230769231,False
Cory,Cosmic,14,8,63.63636363636363,False
Cory,Dawn,7,24,22.58064516129032,False
Cory,Flute,16,13,55.172413793103445,False
Cory,Freight,18,13,58.06451612903226,False
Cory,Grassland,12,15,44.44444444444444,False
Cory,KangTao,14,12,53.84615384615385,False
Cory,Liquidation,9,15,37.5,False
Cory,Militech,12,21,36.36363636363637,False
Cory,NUSA,11,24,31.428571428571427,False
Cory,Newspaper,13,9,59.09090909090909,False
Cory,OldRusty,11,18,37.93103448275862,False
Cory,Purplestar,11,19,36.666666666666664,False
Cory,Rainbow,7,19,26.923076923076923,False
Cory,Rose,11,27,28.947368421052634,False
Cory,Runic,16,18,47.05882352941176,False
Cory,Snowflake,17,13,56.666666666666664,False
Cory,Sovereign,9,16,36.0,False
Cory,Tigris,14,16,46.666666666666664,False
Cupid,1987,11,16,40.74074074074074,False
Cupid,7891,17,13,56.666666666666664,False
Cupid,Arasaka,17,16,51.515151515151516,False
Cupid,Bamboo,15,17,46.875,False
Cupid,Cloud,16,19,45.714285714285715,False
Cupid,Cosmic,15,20,42.857142857142854,False
Cupid,Dawn,11,13,45.83333333333333,False
Cupid,Flute,9,13,40.909090909090914,False
Cupid,Freight,5,13,27.77777777777778,False
Cupid,Grassland,10,16,38.46153846153847,False
Cupid,KangTao,14,19,42.42424242424242,False
Cupid,Liquidation,17,12,58.620689655172406,False
Cupid,Militech,16,18,47.05882352941176,False
Cupid,NUSA,18,14,56.25,False
Cupid,Newspaper,16,16,50.0,False
Cupid,OldRusty,14,21,40.0,False
Cupid,Purplestar,11,24,31.428571428571427,False
Cupid,Rainbow,8,14,36.36363636363637,False
Cupid,Rose,9,18,33.33333333333333,False
Cupid,Runic,17,14,54.83870967741935,False
Cupid,Snowflake,12,10,54.54545454545454,False
Cupid,Sovereign,16,15,51.61290322580645,False
Cupid,Tigris,12,21,36.36363636363637,False
Don,1987,17,10,62.96296296296296,False
Don,7891,19,9,67.85714285714286,False
Don,Arasaka,14,13,51.85185185185185,False
Don,Bamboo,14,17,45.16129032258064,False
Don,Cloud,15,16,48.38709677419355,False
Don,Cosmic,12,14,46.15384615384615,False
Don,Dawn,15,16,48.38709677419355,False
Don,Flute,18,14,56.25,False
Don,Freight,10,9,52.63157894736842,False
Don,Grassland,18,14,56.25,False
Don,KangTao,19,18,51.35135135135135,False
Don,Liquidation,12,13,48.0,False
Don,Militech,11,13,45.83333333333333,False
Don,NUSA,20,14,58.82352941176471,False
Don,Newspaper,11,20,35.483870967741936,False
Don,OldRusty,10,25,28.57142857142857,False
Don,Purplestar,20,14,58.82352941176471,False
Don,Rainbow,17,16,51.515151515151516,False
Don,Rose,15,9,62.5,False
Don,Runic,11,13,45.83333333333333,False
Don,Snowflake,17,18,48.57142857142857,False
Don,Sovereign,14,13,51.85185185185185,False
Don,Tigris,20,20,50.0,False
Dophine,1987,16,22,42.10526315789473,False
Dophine,7891,14,15,48.275862068965516,False
Dophine,Arasaka,8,17,32.0,False
Dophine,Bamboo,14,22,38.88888888888889,False
Dophine,Cloud,12,20,37.5,False
Dophine,Cosmic,9,21,30.0,False
Dophine,Dawn,15,19,44.11764705882353,False
Dophine,Flute,16,19,45.714285714285715,False
Dophine,Freight,12,22,35.294117647058826,False
Dophine,Grassland,19,17,52.77777777777778,False
Dophine,KangTao,12,15,44.44444444444444,False
Dophine,Liquidation,20,14,58.82352941176471,False
Dophine,Militech,13,18,41.935483870967744,False
Dophine,NUSA,14,12,53.84615384615385,False
Dophine,Newspaper,16,19,45.714285714285715,False
Dophine,OldRusty,17,11,60.71428571428571,False
Dophine,Purplestar,12,17,41.37931034482759,False
Dophine,Rainbow,9,16,36.0,False
Dophine,Rose,14,16,46.666666666666664,False
Dophine,Runic,10,19,34.48275862068966,False
Dophine,Snowflake,9,9,50.0,False
Dophine,Sovereign,21,20,51.21951219512195,False
Dophine,Tigris,10,20,33.33333333333333,False
East,1987,14,13,51.85185185185185,False
East,7891,13,16,44.827586206896555,False
East,Arasaka,11,18,37.93103448275862,False
East,Bamboo,17,13,56.666666666666664,False
East,Cloud,17,16,51.515151515151516,False
East,Cosmic,12,17,41.37931034482759,False
East,Dawn,12,22,35.294117647058826,False
East,Flute,19,22,46.34146341463415,False
East,Freight,16,17,48.484848484848484,False
East,Grassland,15,10,60.0,False
East,KangTao,17,11,60.71428571428571,False
East,Liquidation,14,14,50.0,False
East,Militech,9,14,39.130434782608695,False
East,NUSA,22,19,53.65853658536586,False
East,Newspaper,10,23,30.303030303030305,False
East,OldRusty,17,13,56.666666666666664,False
East,Purplestar,14,15,48.275862068965516,False
East,Rainbow,11,23,32.35294117647059,False
East,Rose,14,18,43.75,False
East,Runic,18,18,50.0,False
East,Snowflake,16,19,45.714285714285715,False
East,Sovereign,14,26,35.0,False
East,Tigris,13,9,59.09090909090909,False
Fenrir,1987,10,9,52.63157894736842,False
Fenrir,7891,17,13,56.666666666666664,False
Fenrir,Arasaka,11,26,29.72972972972973,False
Fenrir,Bamboo,18,10,64.28571428571429,False
Fenrir,Cloud,16,13,55.172413793103445,False
Fenrir,Cosmic,13,20,39.39393939393939,False
Fenrir,Dawn,8,15,34.78260869565217,False
Fenrir,Flute,17,17,50.0,False
Fenrir,Freight,18,14,56.25,False
Fenrir,Grassland,19,16,54.285714285714285,False
Fenrir,KangTao,15,21,41.66666666666667,False
Fenrir,Liquidation,8,12,40.0,False
Fenrir,Militech,15,23,39.473684210526315,False
Fenrir,NUSA,18,15,54.54545454545454,False
Fenrir,Newspaper,12,16,42.857142857142854,False
Fenrir,OldRusty,15,19,44.11764705882353,False
Fenrir,Purplestar,18,15,54.54545454545454,False
Fenrir,Rainbow,11,13,45.83333333333333,False
Fenrir,Rose,11,21,34.375,False
Fenrir,Runic,10,19,34.48275862068966,False
Fenrir,Snowflake,8,11,42.10526315789473,False
Fenrir,Sovereign,20,17,54.054054054054056,False
Fenrir,Tigris,20,20,50.0,False
Fox,1987,14,12,53.84615384615385,False
Fox,7891,18,9,66.66666666666666,False
Fox,Arasaka,14,10,58.333333333333336,False
Fox,Bamboo,16,17,48.484848484848484,False
Fox,Cloud,11,10,52.38095238095239,False
Fox,Cosmic,13,8,61.904761904761905,False
Fox,Dawn,16,12,57.14285714285714,False
